service_id,date,exception_type
4,20160411,2
4,20160412,2
4,20160413,2
4,20160414,2
4,20160415,2
4,20160416,2
4,20160417,2
4,20160418,2
4,20160419,2
4,20160420,2
4,20160421,2
4,20160422,2
4,20160423,2
4,20160424,2
4,20160706,2
4,20160707,2
4,20160708,2
4,20160709,2
4,20160710,2
4,20160711,2
4,20160712,2
4,20160713,2
4,20160714,2
4,20160715,2
4,20160716,2
4,20160717,2
4,20160718,2
4,20160719,2
4,20160720,2
4,20160721,2
4,20160722,2
4,20160723,2
4,20160724,2
4,20160725,2
4,20160726,2
4,20160727,2
4,20160728,2
4,20160729,2
4,20160730,2
4,20160731,2
4,20160801,2
4,20160802,2
4,20160803,2
4,20160804,2
4,20160805,2
4,20160806,2
4,20160807,2
4,20160808,2
4,20160809,2
4,20160810,2
4,20160811,2
4,20160812,2
4,20160813,2
4,20160814,2
4,20160815,2
4,20160816,2
4,20160817,2
4,20160818,2
4,20160819,2
4,20160820,2
4,20160821,2
4,20160822,2
4,20160823,2
4,20160824,2
4,20160825,2
4,20160826,2
4,20160827,2
4,20160828,2
4,20160829,2
4,20160830,2
6,20160411,2
6,20160412,2
6,20160413,2
6,20160414,2
6,20160415,2
6,20160416,2
6,20160417,2
6,20160418,2
6,20160419,2
6,20160420,2
6,20160421,2
6,20160422,2
6,20160423,2
6,20160424,2
6,20160706,2
6,20160707,2
6,20160708,2
6,20160709,2
6,20160710,2
6,20160711,2
6,20160712,2
6,20160713,2
6,20160714,2
6,20160715,2
6,20160716,2
6,20160717,2
6,20160718,2
6,20160719,2
6,20160720,2
6,20160721,2
6,20160722,2
6,20160723,2
6,20160724,2
6,20160725,2
6,20160726,2
6,20160727,2
6,20160728,2
6,20160729,2
6,20160730,2
6,20160731,2
6,20160801,2
6,20160802,2
6,20160803,2
6,20160804,2
6,20160805,2
6,20160806,2
6,20160807,2
6,20160808,2
6,20160809,2
6,20160810,2
6,20160811,2
6,20160812,2
6,20160813,2
6,20160814,2
6,20160815,2
6,20160816,2
6,20160817,2
6,20160818,2
6,20160819,2
6,20160820,2
6,20160821,2
6,20160822,2
6,20160823,2
6,20160824,2
6,20160825,2
6,20160826,2
6,20160827,2
6,20160828,2
6,20160829,2
6,20160830,2
1,20160411,2
1,20160412,2
1,20160413,2
1,20160414,2
1,20160415,2
1,20160416,2
1,20160417,2
1,20160418,2
1,20160419,2
1,20160420,2
1,20160421,2
1,20160422,2
1,20160423,2
1,20160424,2
1,20160706,2
1,20160707,2
1,20160708,2
1,20160709,2
1,20160710,2
1,20160711,2
1,20160712,2
1,20160713,2
1,20160714,2
1,20160715,2
1,20160716,2
1,20160717,2
1,20160718,2
1,20160719,2
1,20160720,2
1,20160721,2
1,20160722,2
1,20160723,2
1,20160724,2
1,20160725,2
1,20160726,2
1,20160727,2
1,20160728,2
1,20160729,2
1,20160730,2
1,20160731,2
1,20160801,2
1,20160802,2
1,20160803,2
1,20160804,2
1,20160805,2
1,20160806,2
1,20160807,2
1,20160808,2
1,20160809,2
1,20160810,2
1,20160811,2
1,20160812,2
1,20160813,2
1,20160814,2
1,20160815,2
1,20160816,2
1,20160817,2
1,20160818,2
1,20160819,2
1,20160820,2
1,20160821,2
1,20160822,2
1,20160823,2
1,20160824,2
1,20160825,2
1,20160826,2
1,20160827,2
1,20160828,2
1,20160829,2
1,20160830,2
3,20160411,2
3,20160412,2
3,20160413,2
3,20160414,2
3,20160415,2
3,20160416,2
3,20160417,2
3,20160418,2
3,20160419,2
3,20160420,2
3,20160421,2
3,20160422,2
3,20160423,2
3,20160424,2
3,20160706,2
3,20160707,2
3,20160708,2
3,20160709,2
3,20160710,2
3,20160711,2
3,20160712,2
3,20160713,2
3,20160714,2
3,20160715,2
3,20160716,2
3,20160717,2
3,20160718,2
3,20160719,2
3,20160720,2
3,20160721,2
3,20160722,2
3,20160723,2
3,20160724,2
3,20160725,2
3,20160726,2
3,20160727,2
3,20160728,2
3,20160729,2
3,20160730,2
3,20160731,2
3,20160801,2
3,20160802,2
3,20160803,2
3,20160804,2
3,20160805,2
3,20160806,2
3,20160807,2
3,20160808,2
3,20160809,2
3,20160810,2
3,20160811,2
3,20160812,2
3,20160813,2
3,20160814,2
3,20160815,2
3,20160816,2
3,20160817,2
3,20160818,2
3,20160819,2
3,20160820,2
3,20160821,2
3,20160822,2
3,20160823,2
